Source,Target
14,1359
603,644
189,168259
334543,381284
10195,419831
2675,126889
16577,150540
10998,396371
550,445954
83670,489927
76203,86194
70,319888
169917,345887
75780,395990
152532,454227
497,222935
9880,440161
8966,17979
388,821
19908,295011
854,507419
3558,363676
4597,520360
12445,34584
424,448776
34636,340674
60670,65754
39781,425972
80035,503346
257345,429417
2503,346685
670,754
12437,24021
15092,31011
17494,500475
128241,489931
3134,483184
28,5902
2048,6479
2048,72190
1970,414191
550,74997
4148,346685
184125,474753
11697,537996
396371,429197
381284,407448
608,828
133805,419478
12521,412862
387,109491
216015,340666
334543,443009
8536,450465
3134,438145
194662,263115
15070,389015
194662,284053
97367,157845
644,274870
58496,307081
8966,216015
258509,335797
155,487670
438799,505954
82693,465136
75656,489931
98566,194662
4922,8649
350,2501
123553,455207
4974,447332
399402,449459
1724,9741
395841,445954
629,1844
207,13342
103,1538
424121,446807
449176,511785
72570,207932
189,372343
4148,470044
278358,554600
510,82693
198663,401905
44826,455207
222935,449176
8966,465136
9540,418827
28,600
389015,454227
137,34288
10139,375262
109453,530154
4771,500475
75140,76203
150540,377587
10607,13223
62211,77338
157350,281338
10560,44214
359940,398181
210577,346685
68724,76341
13778,489927
604,6479
629,912
266856,363676
59436,440298
11004,340613
364,49026
948,406997
465136,476926
8470,9339
299551,399055
98,24167
399170,401469
10781,398173
470044,484247
11778,11934
24021,24418
336843,340666
169917,484247
350,15472
652,274857
65754,470229
141,19458
8077,157336
652,18823
9679,154400
265208,309242
207,711
152737,462919
657,347984
24021,36647
6479,335984
103,44925
11324,101299
3170,281957
1417,224141
10625,419478
177677,347984
2501,324668
561,1487
449176,472734
249397,301365
302520,447332
274857,313297
9526,45269
2275,392044
197,449459
424,339380
1422,8012
411,34584
828,7191
9056,64690
294254,446807
497,32657
634,205587
9540,500475
769,4836
96936,520360
9323,68724
1374,180863
424,467952
521,787
29595,184125
44363,399360
670,260346
9323,315837
449176,484247
14873,278927
101,1948
5925,37165
411,429351
73,772
23168,262500
49521,283366
341174,449176
272,297762
375262,424694
453,152532
388,1771
293863,397422
417261,446807
446021,472715
8966,440161
103,459910
245846,489999
9880,17979
290512,399360
152532,454652
101,26390
70160,405774
157350,401905
448776,467952
539,159932
240,9798
1259,440298
240,281957
27576,315837
10947,419478
372343,395990
400710,476926
10651,446791
14,277216
307081,396371
508,9714
137,150670
258480,511785
18239,101299
429351,449176
11895,13223
246655,487670
137,10212
4771,446791
2447,147441
346364,484247
467952,472451
13,122906
